tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres								
tt10156366	tvSeries	MTV Pop 20	MTV Pop 20	0	2015	2015	\N	Talk-Show								
tt10156370	tvSeries	MTV Superfan Search	MTV Superfan Search	0	2015	2015	\N	Comedy								
tt10156382	tvSeries	MTV Fit: adidas sessions	MTV Fit: adidas sessions	0	2015	2016	\N	Sport								
tt10156490	tvSeries	Hot Guys Fuck	Hot Guys Fuck	1	2015	\N	24	Adult								
tt10157196	tvSeries	Noiasou gia tin ygeia sou	Noiasou gia tin ygeia sou	0	2015	\N	\N	Talk-Show								
tt10157688	tvSeries	A Life in Art	A Life in Art	0	2015	2017	30	Talk-Show								
tt10159790	tvSeries	Two Yoo Project - Sugar Man	Two Yoo Project - Sugar Man	0	2015	\N	\N	Music								
tt10160136	tvSeries	V L G	V L G	0	2015	\N	10	Reality-TV								
tt10162522	tvSeries	Milon Tithi	Milon Tithi	0	2015	2017	\N	Romance								
tt10166530	tvSeries	Food-Ball	Food-Ball	0	2015	2015	\N	Game-Show	Reality-TV							
tt10170676	tvSeries	ATM	ATM	0	2015	2015	3	Thriller								
tt10171124	tvSeries	Gysi und ... - Der n-tv Jahresrückblick	Gysi und ... - Der n-tv Jahresrückblick	0	2015	\N	40	News								
tt10172314	tvSeries	Quantity Train	Quantity Train	0	2015	2016	\N	Family								
tt10177396	tvSeries	Chapman's Secrets	Chapman's Secrets	0	2015	\N	\N	Documentary								
tt10179150	tvSeries	Wish List: La Liste de vos envies	Wish List: La Liste de vos envies	0	2015	2016	\N	Game-Show								
tt10195328	tvSeries	Liefde voor muziek	Liefde voor muziek	0	2015	\N	\N	Music								
tt10195610	tvSeries	Saat Paake Bandha	Saat Paake Bandha	0	2015	\N	\N	Reality-TV								
tt10195700	tvSeries	Video Vision	Video Vision	0	2015	\N	30	Music								
tt10195808	tvSeries	Shob choritro kalponik	Shob choritro kalponik	0	2015	\N	\N	Drama								
tt10196018	tvSeries	Ebar jalsha	Ebar jalsha	0	2015	\N	\N	Reality-TV								
tt10196106	tvSeries	Mon Niye Kachakachi	Mon Niye Kachakachi	0	2015	2015	\N	Romance								
tt10196120	tvSeries	Joyo Hey	Joyo Hey	0	2015	\N	\N	Reality-TV								
tt10196126	tvSeries	Akal Bodhon	Akal Bodhon	0	2015	\N	\N	\N								
tt10197506	tvSeries	Shadow of the Heart	Ngao Jai	0	2015	2015	90	Comedy	Drama	Romance						
tt10200518	tvSeries	Olho Mágico Reforma de Vizinhos	Olho Mágico Reforma de Vizinhos	0	2015	2015	52	Reality-TV								
tt10204304	tvSeries	Enaya Moshadda	Enaya Moshadda	0	2015	2015	\N	Drama								
tt10204888	tvSeries	L'Esprit Sorcier	L'Esprit Sorcier	0	2015	\N	\N	Documentary								
tt10206488	tvSeries	No Jumper	No Jumper	0	2015	\N	\N	Talk-Show								
tt10208558	tvSeries	The Real Queens of Kings County	The Real Queens of Kings County	0	2015	2016	\N	Comedy								
tt10208850	tvSeries	This Week in Comedy	This Week in Comedy	0	2015	2016	\N	Comedy								
tt10209930	tvSeries	Tum Mere Kya Ho	Tum Mere Kya Ho	0	2015	2016	40	Action	Crime	Drama						
tt10214970	tvSeries	BBC Eastenders - 9 July 2015	BBC Eastenders - 9 July 2015	0	2015	2015	\N	Drama								
tt10220646	tvSeries	Globo Magazin	Globo Magazin	0	2015	\N	45	Talk-Show								
tt10221398	tvSeries	Egri Kilátó	Egri Kilátó	0	2015	\N	\N	Biography	News	Reality-TV						
tt10223206	tvSeries	Curtas às Quartas	Curtas às Quartas	0	2015	\N	\N	Talk-Show								
tt10224766	tvSeries	Famous News	Famous News	0	2015	2015	\N	News								
tt10230030	tvSeries	Rettai Vaal Kuruvi	Rettai Vaal Kuruvi	0	2015	2015	\N	Romance								
tt10231358	tvSeries	Good	 Bad	 Ugly	Good	 Bad	 Ugly	0	2015	2015	\N	Comedy	Drama			
